%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212885, 2020/04/13 16:28:47.85)
29 291 9.811398e-01 4.517961e+00  1.751322659427557049e+00  2.039613132980958365e+00  2.648760111609174572e+00  8.992400446781726231e+00
30 301 8.942049e-01 4.566521e+00  1.751322659427557049e+00  1.812847976713756193e+00  3.421383145100351353e+00  9.221392393398250675e+00
31 311 7.915265e-01 4.717443e+00  1.751322659427557049e+00  1.767490589627878972e+00  3.336905753818163678e+00  1.243196470447126600e+01
32 321 6.927219e-01 4.964998e+00  1.739658000554156869e+00  1.739658000554156869e+00  2.045708796339017255e+00  3.208350847226851599e+00
33 331 6.186303e-01 5.337690e+00  1.738236731407582170e+00  1.738236731407582170e+00  2.237276377022749507e+00  5.441314803380612020e+00
34 341 5.936682e-01 5.713914e+00  1.738236731407582170e+00  1.758403507231577123e+00  2.288205947093190140e+00  3.881492274567607481e+00
35 351 5.542512e-01 5.936332e+00  1.713902073427873374e+00  1.713902073427873374e+00  2.018113225313703740e+00  5.449184537567113296e+00
36 361 6.206003e-01 6.901284e+00  1.713902073427873374e+00  1.750860742857870189e+00  2.059029238429868514e+00  4.355317663958648389e+00
37 371 5.710485e-01 7.252239e+00  1.713902073427873374e+00  1.735019568020963021e+00  2.082339691344657240e+00  2.438367397352600108e+00
38 381 4.557654e-01 7.843241e+00  1.713902073427873374e+00  1.756056933314656732e+00  1.999084383709994972e+00  3.183761109110194276e+00
39 391 3.965457e-01 8.226998e+00  1.713902073427873374e+00  1.728229259371410365e+00  1.838228313967122052e+00  2.341174708828367645e+00
40 401 3.295508e-01 9.041781e+00  1.712416313189373263e+00  1.712416313189373263e+00  1.826752113478139705e+00  2.355650945000289820e+00
41 411 2.971185e-01 9.105069e+00  1.712416313189373263e+00  1.714536412614426464e+00  1.740996089984025108e+00  2.199125612796104079e+00
42 421 3.093366e-01 9.622532e+00  1.709315804614029988e+00  1.709315804614029988e+00  1.772126976928935171e+00  2.059761784866085854e+00
43 431 3.155226e-01 9.910316e+00  1.707411042885751851e+00  1.707411042885751851e+00  1.723030839732354380e+00  2.039678600671668729e+00
44 441 3.094833e-01 1.042100e+01  1.700630084751213689e+00  1.700630084751213689e+00  1.747564252759203018e+00  1.899427686473000421e+00
45 451 3.072014e-01 1.095820e+01  1.700630084751213689e+00  1.703266031796544677e+00  1.754963847857112125e+00  1.964733812557720727e+00
46 461 2.959148e-01 1.136086e+01  1.699583598047308186e+00  1.699583598047308186e+00  1.755478352767460670e+00  1.837017629698270094e+00
47 471 2.579750e-01 1.202593e+01  1.699583598047308186e+00  1.706185098612924556e+00  1.735768347469410333e+00  1.906292041320793773e+00
48 481 2.405283e-01 1.260609e+01  1.699583598047308186e+00  1.705433562460305863e+00  1.717428402779183294e+00  1.939380723168620646e+00
49 491 2.628080e-01 1.485141e+01  1.699583598047308186e+00  1.702108605419407894e+00  1.729367449433401038e+00  1.777398271187005774e+00
